Наименование оборудования,За сутки,За месяц,Общая
Центрифуга,0,0,0
Сушка,12,39,1068
Дегазация,0,0,3
Флотатор,8,461,9024
Насос Н2.01,2,91,1270
Насос Н3.01,8,461,9128
Насос Н3.02,8,460,7069
Насос Н3.03-1,0,0,0
Насос Н3.03-2,8,460,5466
Насос Н3.04-1,8,461,5619
Насос Н3.04-2,0,0,0
Насос Н3.05,0,0,24
Насос Н7.01,0,2,545
Насос Н7.02,0,37,303
Насос Н9.01,0,0,0
Насос Н9.02,2,119,1626
Насос Н9.03,0,1,1019
Насос Н9.04,1,52,69
Насос Н9.05,3,102,2999
Насос Н9.06,0,0,22
Насос Н9.07,0,0,6
Насос Н9.08,8,462,9542
Насос Н9.09,0,0,7
Насос Н9.10,0,0,2
Насос Н9.11,1,48,742
Насос Н9.13,0,82,1586
Вакуум,0,55,1416
Насос Н1,0,0,3
Насос Н5,0,0,8
Вентилятор В6,0,0,0
Вентилятор В7,0,0,0
Вентилятор В12,0,0,0
Вентилятор В14,0,0,0
Вентилятор В9,0,0,74
Вентилятор В10,0,0,0
Вентилятор В11,0,0,74
Вентилятор В15,0,0,74
Насос дренажный ДН1,0,9,12
Котел К-1 по линии Т5.Т6,2,64,126
Котел К-2 по линии Т1.Т2,8,460,1033
Паровой котел К-2 HDR 250,0,0,0
Паровой котел К-1 HDR 250,0,0,0
Паровой котел К-2 HDR 550,8,446,1466
Паровой котел К-1 HDR 550,0,190,960
Насос 1.3.2А,0,8,8
Насос 1.3.2Б,0,12,12
Насос 1.3.2В,0,8,8
Насос 1.4.1,0,2,2
Насос 1.4.3,0,0,0
Насос 1.5.4,0,1,1
Насос 1.5.5,0,0,0
Насос 1.6.2,0,0,0
Насос 1.7.1,8,448,512
Насос 1.8.1,0,8,8
Насос 1.8.2,0,10,10
Насос 1.8.3,0,8,8
Насос 1.10.1,0,0,0
Насос 1.11.1,0,0,0
Насос 1.11.2,0,0,0
Насос 1.11.3,0,0,0
Насос 2.3.2А,0,7,7
Насос 2.3.2Б,0,8,8
Насос 2.3.2В,0,13,13
Насос 2.4.1,0,2,2
Насос 2.4.3,0,0,0
Насос 2.5.4,0,0,0
Насос 2.5.5,0,0,0
Насос 2.6.2,0,0,0
Насос 2.7.1,8,433,433
Насос 2.8.1,0,7,7
Насос 2.8.2,0,8,8
Насос 2.8.3,0,9,9
Насос 2.10.1,0,0,0
Насос 2.11.1,0,0,0
Насос 2.11.2,0,0,0
Насос 2.11.3,0,0,0
Насос 4.3.2,0,0,0
Насос 4.4.1,0,0,0
Насос 4.4.2,0,0,0
Насос 4.6.1,0,0,0
Насос 4.7.1,0,0,0
Насос 4.8,0,0,0
Насос 5.2.1,0,5,8
Насос 5.5.1,0,162,201
Насос 5.7,0,4,5
Насос 3.1А,0,23,24
Насос 3.1Б,0,23,24
Насос 3.1В,0,22,22
